2020/12/12 00:00:00+00,248,75756
2020/12/13 00:00:00+00,429,76185
2020/12/14 00:00:00+00,264,76449
2020/12/15 00:00:00+00,329,76776
2020/12/16 00:00:00+00,431,77197
2020/12/17 00:00:00+00,484,77678
2020/12/18 00:00:00+00,582,78254
2020/12/19 00:00:00+00,527,78776
2020/12/20 00:00:00+00,764,79542
2020/12/21 00:00:00+00,727,80267
2020/12/22 00:00:00+00,970,81228
2020/12/23 00:00:00+00,938,82155
2020/12/24 00:00:00+00,922,83073
2020/12/25 00:00:00+00,1025,84098
2020/12/26 00:00:00+00,1296,85394
2020/12/27 00:00:00+00,744,86129
2020/12/28 00:00:00+00,765,86894
2020/12/29 00:00:00+00,1546,88439
2020/12/30 00:00:00+00,1718,90157
2020/12/31 00:00:00+00,1620,91779
2021/01/01 00:00:00+00,1754,93532
2021/01/02 00:00:00+00,3394,96926
2021/01/03 00:00:00+00,4962,101887
2021/01/04 00:00:00+00,6110,107997
2021/01/05 00:00:00+00,5325,113322
2021/01/06 00:00:00+00,7836,121154
2021/01/07 00:00:00+00,6521,127657
2021/01/08 00:00:00+00,8248,135884
2021/01/09 00:00:00+00,4842,140727
2021/01/10 00:00:00+00,6888,147613
2021/01/11 00:00:00+00,4929,152539
2021/01/12 00:00:00+00,3086,155591
2021/01/13 00:00:00+00,3569,159144
2021/01/14 00:00:00+00,3955,163057
2021/01/15 00:00:00+00,3498,166548
2021/01/16 00:00:00+00,3231,169780
2021/01/17 00:00:00+00,2944,172726
2021/01/18 00:00:00+00,2121,174843
2021/01/19 00:00:00+00,2001,176839
2021/01/20 00:00:00+00,2488,179324
2021/01/21 00:00:00+00,2608,181922
2021/01/22 00:00:00+00,2371,184279
2021/01/23 00:00:00+00,1910,186184
2021/01/24 00:00:00+00,1378,187554
2021/01/25 00:00:00+00,1372,188923
2021/01/26 00:00:00+00,928,189851
2021/01/27 00:00:00+00,1335,191182
2021/01/28 00:00:00+00,1466,192645
2021/01/29 00:00:00+00,1254,193892
2021/01/30 00:00:00+00,1414,195303
